Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 2288,Bay Springs,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2289,Gulfport,Government,1,Below,Below,Below,Above,Same,Same,Below,28645,Average,Higher,17258,Average,Average,20046,Average,Higher,22989,Average,Higher
Hospital 2290,Eupora,Unknown,3,Same,None,Below,Same,Same,Above,Same,0,Unknown,Unknown,16388,Average,Average,17257,Average,Average,0,Unknown,Unknown
Hospital 2291,Amory,Proprietary,3,Same,Above,Below,Above,Same,Above,Same,0,Unknown,Unknown,15614,Average,Average,16415,Average,Average,0,Unknown,Unknown
Hospital 2292,Louisville,Private,-1,None,None,None,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,15912,Average,Average,0,Unknown,Unknown
Hospital 2293,Vicksburg,Proprietary,1,Same,Below,Below,Below,Same,Below,Same,22308,Average,Average,17709,Average,Average,20984,Average,Higher,23564,Average,Average
Hospital 2294,Oxford,Private,2,Same,Same,Below,Same,Same,Above,Same,23298,Average,Average,16466,Average,Average,17846,Average,Average,24861,Worse,Higher
Hospital 2295,Lucedale,Government,3,Same,None,Same,Above,Below,Same,Same,0,Unknown,Unknown,16895,Average,Average,19303,Average,Average,0,Unknown,Unknown
Hospital 2296,Canton,Proprietary,2,Same,None,Below,Below,Same,Same,None,0,Unknown,Unknown,16813,Average,Average,20512,Average,Higher,0,Unknown,Unknown
Hospital 2297,Pascagoula,Government,2,Below,Below,Below,Below,Same,Same,Below,25638,Average,Higher,16105,Average,Average,17866,Worse,Average,22524,Average,Average
Hospital 2298,Clarksdale,Proprietary,3,Same,Same,Below,Same,Same,Same,Same,21700,Average,Average,15912,Average,Average,17555,Average,Average,0,Unknown,Unknown
Hospital 2299,Philadelphia,Government,2,Same,None,Same,Same,Below,Above,Same,0,Unknown,Unknown,13227,Average,Lower,13050,Average,Lower,0,Unknown,Unknown
Hospital 2300,Booneville,Church,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,15711,Average,Average,15715,Worse,Lower,0,Unknown,Unknown
Hospital 2301,Jackson,Church,2,Same,Below,Below,Same,Below,Below,Same,19128,Average,Lower,15553,Average,Lower,16809,Average,Lower,22591,Average,Average
Hospital 2302,Magnolia,Proprietary,4,Same,None,Same,Above,None,None,None,0,Unknown,Unknown,14266,Average,Lower,14361,Average,Lower,0,Unknown,Unknown
Hospital 2303,Starkville,Government,3,Same,Same,Above,Same,Same,Same,Below,0,Unknown,Unknown,16082,Average,Average,16724,Average,Average,23564,Average,Average
Hospital 2304,Brookhaven,Unknown,2,Same,Same,Below,Above,Same,Same,Same,0,Unknown,Unknown,17003,Average,Average,17978,Average,Average,26674,Average,Higher
Hospital 2305,Laurel,Government,3,Same,Above,Below,Same,Same,Above,Same,22446,Average,Average,14643,Average,Lower,15745,Average,Lower,26280,Average,Higher
Hospital 2306,Fayette,Government,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2307,Water Valley,Government,3,Same,None,Same,Above,None,None,None,0,Unknown,Unknown,14290,Average,Lower,12276,Average,Lower,0,Unknown,Unknown
Hospital 2308,West Point,Private,3,Same,None,Same,Same,Same,Above,None,0,Unknown,Unknown,15651,Average,Average,16021,Average,Average,0,Unknown,Unknown
Hospital 2309,Meridian,Private,2,Below,Below,Above,Below,Same,Same,Below,25489,Average,Average,19569,Average,Higher,21543,Worse,Higher,34771,Average,Higher
Hospital 2310,Jackson,Proprietary,2,Same,Below,Same,Below,Same,Below,Same,25091,Average,Average,19695,Average,Higher,19689,Average,Higher,28034,Average,Higher
Hospital 2311,Waynesboro,Government,2,Same,None,Below,Same,Below,Above,None,0,Unknown,Unknown,14474,Average,Lower,13860,Average,Lower,0,Unknown,Unknown
Hospital 2312,Hattiesburg,Government,1,Below,Below,Below,Same,Below,Same,Above,26602,Average,Higher,16609,Worse,Average,18872,Worse,Higher,24194,Worse,Higher
Hospital 2313,Rolling Fork,Government,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,15423,Average,Average,13043,Average,Lower,0,Unknown,Unknown
Hospital 2314,Meridian,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 2315,Greenville,Government,2,Same,Above,Below,Below,Same,Below,Same,24845,Average,Average,15304,Average,Lower,17101,Average,Average,27159,Average,Higher
Hospital 2316,Natchez,Proprietary,2,Below,Above,Same,Below,Same,Below,Below,22758,Average,Average,15851,Average,Average,19120,Worse,Higher,0,Unknown,Unknown
Hospital 2317,Columbia,Unknown,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,15976,Average,Average,16297,Average,Average,0,Unknown,Unknown
Hospital 2318,Cleveland,Proprietary,2,Same,None,Below,Above,Below,Above,Same,0,Unknown,Unknown,16239,Average,Average,19039,Average,Higher,0,Unknown,Unknown
Hospital 2319,Hattiesburg,Private,2,Same,Below,Below,Same,Same,Above,Same,26378,Average,Higher,17624,Average,Average,16156,Average,Lower,22996,Average,Average
Hospital 2320,Indianola,Government,3,Same,None,Above,None,Below,Above,Same,0,Unknown,Unknown,14909,Average,Average,14007,Average,Lower,0,Unknown,Unknown
Hospital 2321,Brandon,Proprietary,3,Same,None,Below,Below,Same,Above,None,0,Unknown,Unknown,16271,Average,Average,16786,Average,Average,0,Unknown,Unknown
Hospital 2322,Mccomb,Government,2,Same,Same,Above,Below,Same,Above,Same,22920,Average,Average,15088,Average,Lower,17530,Average,Average,26237,Average,Higher
Hospital 2323,Greenwood,Government,2,Same,Below,Below,Below,Same,Same,Same,23094,Average,Average,16279,Average,Average,16975,Average,Average,33647,Average,Higher
