Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 1215,Park Ridge,Church,5,Above,Above,Above,Same,Same,Same,Above,26455,Average,Higher,18082,Average,Higher,19753,Better,Higher,23482,Average,Higher
Hospital 1216,Chicago,Church,4,Above,Above,Same,Below,Same,Same,Same,24452,Average,Average,17509,Better,Average,17669,Average,Average,23973,Average,Higher
Hospital 1217,Rockford,Unknown,2,Same,Below,Above,Same,Same,Same,Above,22899,Average,Average,15651,Average,Lower,15963,Worse,Lower,20383,Average,Lower
Hospital 1218,Naperville,Private,5,Above,Above,Above,Above,Same,Same,Same,26724,Average,Higher,17161,Better,Average,17570,Average,Average,22306,Average,Average
Hospital 1219,Rockford,Church,2,Same,Above,Below,Below,Same,Same,Same,25166,Average,Average,15942,Average,Average,17776,Average,Average,21467,Average,Average
Hospital 1220,Peru,Private,3,Same,Above,Below,Above,Same,Above,Same,23626,Average,Average,14983,Average,Lower,16598,Average,Average,18305,Average,Lower
Hospital 1221,Rockford,Private,3,Same,Same,Same,Below,Same,Above,Same,25283,Average,Average,16388,Average,Average,18092,Average,Average,19891,Average,Lower
Hospital 1222,Melrose Park,Unknown,3,Same,Same,Above,Below,Same,Same,Same,23696,Average,Average,18449,Average,Average,18755,Average,Average,0,Unknown,Unknown
Hospital 1223,Winfield,Private,5,Same,Same,Above,Above,Same,Same,Same,25779,Average,Average,17211,Average,Average,18331,Average,Higher,21789,Better,Average
Hospital 1224,Hazel Crest,Church,3,Same,Same,Above,Below,Same,Below,Same,25383,Average,Average,17338,Average,Average,18215,Average,Average,19944,Average,Lower
Hospital 1225,Chicago,Private,1,Same,Above,Below,Below,Same,Same,Same,23768,Average,Average,18292,Average,Higher,20143,Average,Higher,24978,Average,Higher
Hospital 1226,Arlington Heights,Private,3,Below,Below,Above,Same,Same,Above,Same,24446,Average,Average,17691,Average,Higher,19171,Average,Higher,24179,Average,Higher
Hospital 1227,Elk Grove Village,Church,4,Above,Same,Above,Below,Same,Same,Same,26573,Average,Higher,18733,Better,Higher,18993,Better,Higher,25686,Average,Higher
Hospital 1228,Silvis,Government,2,Same,Same,Above,Below,Same,Same,Same,25050,Average,Average,15494,Worse,Average,16336,Average,Average,19778,Average,Lower
Hospital 1229,Maywood,Private,2,Above,Below,Below,Same,Same,Below,Same,26713,Average,Higher,17753,Average,Higher,18319,Average,Average,24112,Average,Higher
Hospital 1230,Rock Island,Unknown,3,Below,Above,Above,Below,Same,Same,Above,22057,Average,Lower,16170,Average,Average,17387,Average,Average,18540,Average,Lower
Hospital 1231,Chicago,Private,3,Above,Below,Below,Above,Same,Below,Below,22066,Better,Average,15233,Better,Lower,16863,Better,Average,22022,Average,Average
Hospital 1232,Dekalb,Private,3,Same,Same,Above,Same,Same,Same,Same,23849,Average,Average,17797,Average,Average,16932,Average,Average,18765,Average,Lower
Hospital 1233,Downers Grove,Church,4,Above,Below,Above,Above,Same,Same,Above,26090,Average,Higher,19317,Better,Higher,18490,Better,Higher,23304,Average,Higher
Hospital 1234,Maryville,Private,3,Same,Same,Above,Above,Same,Same,Same,26488,Average,Higher,16547,Average,Average,16563,Average,Average,19357,Average,Lower
Hospital 1235,Hoffman Estates,Church,4,Above,Below,Above,Below,Same,Same,Same,25798,Average,Average,18468,Better,Higher,20106,Average,Higher,25672,Average,Higher
Hospital 1236,Barrington,Church,4,Above,Below,Above,Same,Same,Same,Same,25721,Average,Average,18121,Average,Higher,17954,Average,Average,21680,Average,Average
Hospital 1237,Glendale Heights,Unknown,2,Same,Same,Above,Below,Same,Above,Same,25752,Average,Average,17998,Average,Average,18378,Average,Average,0,Unknown,Unknown
Hospital 1238,Mount Vernon,Proprietary,3,Same,Same,Same,Same,Same,Same,None,0,Unknown,Unknown,14996,Average,Average,14952,Average,Lower,21629,Average,Average
Hospital 1239,Chicago,Government,-1,None,None,None,None,Same,Below,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1240,Bolingbrook,Private,2,Same,Below,Below,Same,Same,Above,Same,23003,Average,Average,17110,Average,Average,17805,Average,Average,29678,Average,Higher
Hospital 1241,Shiloh,Private,3,Same,Below,Below,Above,Same,Above,Same,23914,Average,Average,15931,Average,Average,16654,Average,Average,0,Unknown,Unknown
Hospital 1242,Carrollton,Private,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,21359,Average,Higher,0,Unknown,Unknown
Hospital 1243,Monticello,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,20747,Average,Higher,0,Unknown,Unknown
Hospital 1244,Galena,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1245,Clinton,Government,-1,None,None,Same,None,None,None,Same,0,Unknown,Unknown,16061,Average,Average,16841,Average,Average,0,Unknown,Unknown
Hospital 1246,Aledo,Private,-1,None,None,None,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15938,Average,Average,0,Unknown,Unknown
Hospital 1247,Carthage,Private,4,Same,None,Above,Above,None,Same,Same,0,Unknown,Unknown,16323,Average,Average,17689,Average,Average,0,Unknown,Unknown
Hospital 1248,Staunton,Private,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,17672,Average,Average,17807,Average,Average,0,Unknown,Unknown
Hospital 1249,Pinckneyville,Government,2,None,None,Below,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,19357,Average,Average,0,Unknown,Unknown
Hospital 1250,Nashville,Government,-1,None,None,None,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1251,Eureka,Private,3,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15031,Average,Lower,0,Unknown,Unknown
Hospital 1252,Mendota,Private,3,Same,None,Same,None,Same,None,Same,0,Unknown,Unknown,19549,Average,Higher,18562,Average,Average,28045,Average,Higher
Hospital 1253,Fairfield,Private,4,Same,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,16169,Average,Average,13970,Average,Lower,0,Unknown,Unknown
Hospital 1254,Rochelle,Private,4,Same,None,Same,Above,None,None,None,0,Unknown,Unknown,16096,Average,Average,15209,Average,Lower,22518,Average,Average
Hospital 1255,Havana,Government,4,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,20493,Average,Higher,0,Unknown,Unknown
Hospital 1256,Pittsfield,Private,3,Same,None,Same,None,Same,Same,Same,0,Unknown,Unknown,16769,Average,Average,15501,Average,Lower,0,Unknown,Unknown
Hospital 1257,Hoopeston,Private,-1,Same,None,Same,None,None,None,None,0,Unknown,Unknown,17088,Average,Average,16484,Average,Average,0,Unknown,Unknown
Hospital 1258,Gibson City,Private,4,None,None,Above,Above,None,None,Below,0,Unknown,Unknown,0,Unknown,Unknown,17293,Average,Average,21452,Average,Average
Hospital 1259,Monmouth,Private,4,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,16110,Average,Average,14527,Average,Lower,0,Unknown,Unknown
Hospital 1260,Geneseo,Government,4,Same,None,Above,Above,None,None,Same,0,Unknown,Unknown,15637,Average,Average,13441,Average,Lower,19586,Average,Lower
Hospital 1261,Paris,Unknown,4,Same,None,Same,Above,Same,Above,None,0,Unknown,Unknown,15229,Average,Average,14173,Average,Lower,19624,Average,Lower
Hospital 1262,Benton,Government,3,Same,None,Same,None,Same,Same,Same,0,Unknown,Unknown,17907,Average,Average,15410,Average,Lower,0,Unknown,Unknown
Hospital 1263,Lincoln,Private,4,Same,Same,Above,Above,Same,Same,Same,0,Unknown,Unknown,17112,Average,Average,17038,Average,Average,20118,Average,Average
Hospital 1264,Metropolis,Government,4,Same,None,Below,Above,Same,Same,Same,0,Unknown,Unknown,15026,Average,Average,15109,Average,Lower,0,Unknown,Unknown
Hospital 1265,Eldorado,Private,-1,Same,None,Same,None,None,None,None,0,Unknown,Unknown,15329,Worse,Average,13709,Average,Lower,0,Unknown,Unknown
Hospital 1266,Kewanee,Church,3,Same,None,Same,None,Same,None,None,0,Unknown,Unknown,15698,Average,Average,15529,Average,Lower,0,Unknown,Unknown
Hospital 1267,Mcleansboro,Government,2,Same,None,Below,Below,None,None,None,0,Unknown,Unknown,15503,Worse,Average,17699,Average,Average,0,Unknown,Unknown
Hospital 1268,Mount Carmel,Government,4,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,15482,Average,Average,16072,Average,Average,17526,Average,Lower
Hospital 1269,Rosiclare,Private,2,Same,None,Below,Above,None,None,None,0,Unknown,Unknown,15318,Average,Average,15100,Average,Lower,0,Unknown,Unknown
Hospital 1270,Morrison,Government,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1271,Hopedale,Private,5,None,None,Same,Above,None,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,17888,Average,Average,0,Unknown,Unknown
Hospital 1272,Du Quoin,Private,2,Same,None,Below,None,Same,Same,Same,0,Unknown,Unknown,19115,Average,Average,14741,Average,Lower,0,Unknown,Unknown
Hospital 1273,Hillsboro,Private,3,Same,None,Above,None,Same,Same,None,0,Unknown,Unknown,17075,Average,Average,16335,Average,Average,0,Unknown,Unknown
Hospital 1274,Rushville,Government,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,17550,Average,Average,18413,Average,Average,0,Unknown,Unknown
Hospital 1275,Murphysboro,Private,3,Same,None,Same,None,Same,Same,None,0,Unknown,Unknown,15440,Average,Average,17017,Average,Average,0,Unknown,Unknown
Hospital 1276,Harvard,Private,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,16749,Average,Average,15141,Average,Average,0,Unknown,Unknown
Hospital 1277,Highland,Church,5,Same,None,Above,Above,Same,None,Same,0,Unknown,Unknown,18987,Average,Higher,20133,Average,Higher,24425,Average,Higher
Hospital 1278,Princeton,Government,3,Same,None,Same,Above,Same,Same,Same,0,Unknown,Unknown,15942,Average,Average,16621,Average,Average,0,Unknown,Unknown
Hospital 1279,Chester,Government,4,Same,None,Same,Above,Same,Same,None,0,Unknown,Unknown,16371,Average,Average,14528,Worse,Lower,20858,Average,Average
Hospital 1280,Taylorville,Private,4,Same,None,Below,Above,Same,Above,Same,0,Unknown,Unknown,18731,Average,Average,16410,Average,Average,19676,Average,Average
Hospital 1281,Sandwich,Private,4,Same,None,Above,Above,Same,Same,Same,0,Unknown,Unknown,15788,Average,Average,17873,Average,Average,0,Unknown,Unknown
Hospital 1282,Pana,Private,3,Same,None,Same,None,None,None,Same,0,Unknown,Unknown,17213,Average,Average,15956,Average,Average,0,Unknown,Unknown
Hospital 1283,Anna,Proprietary,4,None,None,Same,None,Same,Above,Same,0,Unknown,Unknown,0,Unknown,Unknown,16953,Average,Average,0,Unknown,Unknown
Hospital 1284,Robinson,Government,4,Same,None,Above,Above,Same,None,None,0,Unknown,Unknown,15921,Average,Average,16855,Average,Average,18244,Average,Lower
Hospital 1285,Lawrenceville,Private,4,Same,None,Same,Same,None,None,None,0,Unknown,Unknown,15219,Average,Average,17955,Average,Average,0,Unknown,Unknown
Hospital 1286,Salem,Government,4,Same,None,Above,Above,None,None,None,0,Unknown,Unknown,16563,Average,Average,15171,Average,Lower,27816,Average,Higher
Hospital 1287,Vandalia,Unknown,3,Same,None,Below,Above,None,None,None,0,Unknown,Unknown,16787,Average,Average,15308,Average,Lower,0,Unknown,Unknown
Hospital 1288,Carlinville,Private,4,Same,None,Same,None,Same,Same,Same,0,Unknown,Unknown,18508,Average,Average,18840,Average,Average,0,Unknown,Unknown
Hospital 1289,Red Bud,Proprietary,3,Same,None,Below,Same,Same,Above,None,0,Unknown,Unknown,17680,Average,Average,17897,Average,Average,0,Unknown,Unknown
Hospital 1290,Sparta,Government,3,Same,None,Above,None,None,None,Same,0,Unknown,Unknown,16466,Average,Average,16827,Average,Average,0,Unknown,Unknown
Hospital 1291,Litchfield,Church,4,Same,None,Below,Above,Same,None,Same,0,Unknown,Unknown,15647,Average,Average,16400,Average,Average,20252,Average,Lower
Hospital 1292,Flora,Government,3,Same,None,Below,None,Same,Same,None,0,Unknown,Unknown,15761,Average,Average,14547,Average,Lower,0,Unknown,Unknown
Hospital 1293,Chicago,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1294,Chicago,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1295,Chicago,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1296,Franklin,Government,3,Same,Same,Same,Same,Same,Same,Same,0,Unknown,Unknown,17036,Average,Average,18328,Average,Average,25354,Average,Higher
Hospital 1297,Gary,Private,3,Above,Above,Below,Same,Same,Below,Same,26183,Average,Average,17779,Better,Higher,18152,Average,Average,23916,Average,Higher
Hospital 1298,Hammond,Church,3,Same,Above,Same,Below,Same,Below,Same,26118,Average,Average,19184,Average,Higher,21326,Average,Higher,0,Unknown,Unknown
Hospital 1299,Danville,Government,4,Same,Above,Same,Above,Above,Above,Below,22994,Average,Average,16131,Average,Average,18085,Average,Average,20395,Average,Lower
Hospital 1300,La Porte,Private,3,Below,Below,Above,Below,Same,Above,Same,24298,Average,Average,17083,Average,Average,18440,Average,Average,21410,Average,Average
Hospital 1301,Kokomo,Private,4,Same,Same,Above,Same,Same,Above,Same,25682,Average,Average,18379,Average,Higher,20214,Average,Higher,20310,Average,Lower
Hospital 1302,East Chicago,Private,4,Above,Below,Above,Above,Same,Same,Same,27185,Average,Higher,20273,Better,Higher,22795,Average,Higher,22381,Average,Average
Hospital 1303,Jeffersonville,Unknown,2,Same,Same,Below,Below,Same,Below,Above,24416,Average,Average,17172,Average,Average,18510,Average,Higher,21633,Average,Average
Hospital 1304,Kokomo,Church,4,Below,Above,Above,Above,Same,Above,Same,24111,Average,Average,17738,Average,Average,18707,Average,Higher,22968,Average,Higher
Hospital 1305,Marion,Private,3,Same,Below,Above,Same,Same,Same,Same,22090,Average,Average,16374,Average,Average,15362,Average,Lower,21020,Average,Average
Hospital 1306,Mishawaka,Private,3,Below,Same,Above,Below,Same,Same,Same,21996,Average,Lower,16070,Worse,Average,17658,Average,Average,18476,Average,Lower
Hospital 1307,Michigan City,Church,4,Below,Above,Above,Below,Same,Same,Same,22747,Average,Average,16592,Average,Average,18418,Average,Average,20823,Average,Average
Hospital 1308,Fort Wayne,Proprietary,2,Below,Below,Above,Below,Same,Below,Same,22490,Average,Average,18743,Average,Higher,17390,Average,Average,25093,Average,Higher
Hospital 1309,Elkhart,Government,4,Same,Same,Above,Same,Same,Same,Above,22946,Average,Average,15263,Average,Lower,17609,Average,Average,18375,Average,Lower
Hospital 1310,Fort Wayne,Private,4,Same,Below,Above,Above,Same,Same,Same,20628,Average,Lower,15209,Average,Lower,15931,Average,Lower,23140,Average,Average
Hospital 1311,Crawfordsville,Church,3,Same,Same,Same,Same,Same,Above,Same,0,Unknown,Unknown,15755,Average,Average,17739,Average,Average,22427,Average,Average
Hospital 1312,Terre Haute,Private,3,Same,Same,Above,Same,Same,Same,Below,22328,Average,Lower,17776,Average,Higher,17016,Average,Average,22048,Average,Average
Hospital 1313,Indianapolis,Government,5,Above,Above,Above,Same,Same,Same,Above,18996,Average,Lower,15517,Average,Average,19042,Average,Average,26773,Average,Higher
Hospital 1314,Goshen,Private,4,Same,Same,Above,Above,Below,Same,Below,25331,Average,Average,16187,Worse,Average,17280,Average,Average,21927,Average,Average
Hospital 1315,New Castle,Government,4,Same,Same,Above,Above,Same,Above,Same,0,Unknown,Unknown,16655,Average,Average,16754,Average,Average,21880,Average,Average
Hospital 1316,Hobart,Private,5,Above,Above,Below,Above,Same,Same,Same,25233,Average,Average,17860,Better,Higher,17910,Better,Average,19577,Average,Lower
Hospital 1317,Valparaiso,Proprietary,4,Same,Above,Below,Below,Same,Below,Same,25466,Average,Average,17687,Average,Higher,18614,Average,Higher,19556,Average,Lower
Hospital 1318,Greenfield,Government,3,Below,Above,Above,Above,Same,Above,Same,22783,Average,Average,18554,Average,Higher,20687,Worse,Higher,21982,Average,Average
Hospital 1319,Vincennes,Unknown,4,Same,Above,Below,Above,Same,Above,Same,24824,Average,Average,18287,Average,Higher,18616,Average,Higher,20172,Average,Lower
Hospital 1320,New Albany,Private,3,Above,Below,Below,Below,Same,Same,Same,24155,Average,Average,17836,Average,Higher,18088,Average,Higher,22546,Average,Average
Hospital 1321,Auburn,Private,3,Same,Above,Below,Same,Same,Same,Same,0,Unknown,Unknown,16627,Average,Average,15268,Average,Lower,21747,Average,Average
Hospital 1322,Terre Haute,Proprietary,2,Same,Below,Below,Same,Same,Above,Same,23336,Average,Average,17243,Average,Average,17537,Average,Average,26038,Average,Higher
Hospital 1323,Fort Wayne,Proprietary,2,Same,Below,Same,Below,Same,Same,Same,23825,Average,Average,15378,Average,Average,17731,Average,Average,0,Unknown,Unknown
Hospital 1324,Richmond,Private,5,Same,Above,Above,Same,Same,Same,Same,23641,Average,Average,16333,Average,Average,17342,Better,Average,21261,Average,Lower
Hospital 1325,Bloomington,Private,4,Same,Above,Above,Below,Same,Same,Above,23683,Average,Average,16495,Average,Average,18861,Average,Higher,21507,Average,Average
Hospital 1326,Indianapolis,Private,4,Same,Above,Same,Below,Same,Below,Above,23770,Average,Average,16587,Average,Average,17950,Average,Average,20972,Average,Lower
Hospital 1327,Mooresville,Church,5,Same,Above,Above,Above,Same,Above,Same,0,Unknown,Unknown,15086,Average,Average,15903,Average,Lower,19965,Better,Lower
Hospital 1328,South Bend,Private,4,Below,Same,Above,Same,Below,Same,Same,21508,Average,Lower,15785,Worse,Average,17067,Worse,Average,19181,Average,Lower
Hospital 1329,Noblesville,Government,3,Below,Below,Above,Above,Same,Above,Same,21510,Average,Average,17633,Average,Average,17047,Average,Average,20473,Average,Lower
Hospital 1330,Washington,Unknown,4,Same,Same,Above,Same,Same,Above,Same,24804,Average,Average,17947,Average,Average,17386,Average,Average,23914,Average,Average
Hospital 1331,Connersville,Proprietary,4,Same,None,Above,Same,Below,Same,Same,0,Unknown,Unknown,15600,Average,Average,15758,Average,Lower,0,Unknown,Unknown
Hospital 1332,Seymour,Government,5,Same,Above,Above,Above,Same,Above,Same,0,Unknown,Unknown,15079,Average,Average,15819,Average,Lower,20187,Average,Lower
Hospital 1333,Madison,Private,4,Same,Above,Above,Above,Same,Same,Same,0,Unknown,Unknown,16772,Average,Average,16652,Average,Average,17441,Average,Lower
Hospital 1334,Logansport,Government,3,Same,None,Above,Same,Same,Above,Same,0,Unknown,Unknown,15637,Average,Average,17442,Average,Average,0,Unknown,Unknown
Hospital 1335,Indianapolis,Private,4,Below,Above,Above,Above,Same,Same,Same,23683,Average,Average,18522,Average,Higher,17554,Worse,Average,20981,Average,Average
Hospital 1336,Bluffton,Proprietary,3,Same,Same,Same,Same,Same,Above,Same,0,Unknown,Unknown,15685,Average,Average,16124,Average,Average,19805,Average,Lower
Hospital 1337,Plymouth,Church,4,Same,Same,Above,Above,Same,Above,Same,23886,Average,Average,16287,Average,Average,19063,Average,Average,20150,Average,Average
Hospital 1338,Evansville,Private,3,Below,Above,Below,Above,Above,Above,Same,22796,Average,Average,16220,Average,Average,18300,Worse,Higher,20727,Average,Lower
Hospital 1339,Indianapolis,Church,3,Below,Below,Above,Same,Below,Same,Same,22127,Average,Lower,16293,Average,Average,18084,Worse,Average,23389,Average,Higher
Hospital 1340,Lawrenceburg,Government,3,Same,Below,Below,Above,Same,Above,Same,22497,Average,Average,16990,Average,Average,18320,Average,Average,22101,Average,Average
Hospital 1341,Anderson,Private,3,Same,Below,Above,Above,Same,Same,Same,22385,Average,Average,18325,Average,Higher,17971,Average,Average,20049,Worse,Lower
Hospital 1342,Muncie,Private,3,Above,Below,Above,Below,Same,Same,Above,22979,Average,Average,15707,Average,Lower,18125,Average,Higher,21109,Average,Lower
Hospital 1343,Dyer,Church,3,Same,Above,Above,Below,Same,Below,Same,26442,Average,Higher,19082,Average,Higher,18438,Average,Average,20968,Average,Lower
Hospital 1344,Huntington,Private,4,Same,Same,Above,Above,Same,Same,None,0,Unknown,Unknown,16180,Average,Average,16297,Average,Average,22114,Average,Average
Hospital 1345,Shelbyville,Government,3,Same,Below,Below,Above,Same,Above,Below,23055,Average,Average,15361,Average,Average,17865,Average,Average,19762,Average,Lower
Hospital 1346,Evansville,Private,3,Same,Below,Same,Above,Same,Above,Same,23382,Average,Average,17441,Average,Average,17793,Average,Average,18530,Average,Lower
Hospital 1347,Columbia City,Private,4,Same,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,15790,Average,Average,16409,Average,Average,0,Unknown,Unknown
Hospital 1348,Knox,Proprietary,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,17404,Average,Average,16898,Average,Average,0,Unknown,Unknown
Hospital 1349,Lebanon,Government,4,Same,Above,Above,Above,Same,Above,Same,24050,Average,Average,15095,Average,Average,16674,Average,Average,24035,Average,Higher
Hospital 1350,Lafayette,Church,4,Same,Below,Above,Above,Same,Same,Above,21757,Average,Lower,16781,Average,Average,18894,Average,Higher,20038,Average,Lower
Hospital 1351,Columbus,Government,4,Same,Above,Above,Below,Same,Above,Same,23553,Average,Average,16212,Average,Average,16810,Average,Average,19462,Average,Lower
Hospital 1352,Anderson,Private,3,Same,Below,Above,Above,Same,Above,Same,23969,Average,Average,15490,Average,Average,18242,Average,Average,20209,Average,Lower
Hospital 1353,Jasper,Church,5,Same,Above,Above,Above,Same,Above,Same,24470,Average,Average,17059,Average,Average,18642,Average,Higher,20053,Average,Lower
Hospital 1354,Munster,Private,4,Above,Above,Below,Above,Same,Same,Same,28240,Average,Higher,20428,Better,Higher,19593,Average,Higher,21873,Average,Average
Hospital 1355,Crown Point,Church,4,Same,Above,Same,Same,Same,Same,Above,24437,Average,Average,17354,Average,Average,18912,Average,Higher,22002,Average,Average
Hospital 1356,Indianapolis,Private,4,Same,Above,Above,Above,Same,Same,Same,22050,Average,Average,16623,Average,Average,17971,Worse,Average,19128,Average,Lower
Hospital 1357,Warsaw,Proprietary,2,Same,Same,Same,Below,Above,Above,Same,24677,Average,Average,15561,Average,Average,17030,Average,Average,21120,Average,Average
Hospital 1358,Kendallville,Private,4,Same,Same,Same,Above,Same,Above,Same,0,Unknown,Unknown,16274,Average,Average,17682,Average,Average,25604,Average,Higher
Hospital 1359,Newburgh,Proprietary,5,None,Same,None,Above,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1360,Fort Wayne,Proprietary,4,Same,Above,Same,Same,Same,Above,Same,0,Unknown,Unknown,15284,Average,Average,17382,Average,Average,19508,Average,Lower
Hospital 1361,Indianapolis,Proprietary,5,Above,Above,Above,Above,Same,Same,None,22060,Average,Lower,14950,Average,Lower,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1362,Carmel,Church,4,Same,Above,Above,Above,Same,Same,Same,0,Unknown,Unknown,17630,Average,Average,18899,Average,Average,21012,Average,Average
Hospital 1363,Avon,Proprietary,5,Above,Above,Above,Above,Same,Below,Same,24073,Average,Average,16828,Average,Average,17041,Average,Average,23813,Average,Higher
Hospital 1364,Indianapolis,Unknown,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19523,Average,Lower
Hospital 1365,Carmel,Private,5,Same,Above,Above,Above,Same,Same,Same,25134,Average,Average,16409,Average,Average,17851,Average,Average,21414,Average,Average
Hospital 1366,Indianapolis,Church,2,Same,Below,Above,Above,Same,Below,Same,23764,Average,Average,17188,Average,Average,19068,Average,Higher,22170,Average,Average
Hospital 1367,Munster,Private,3,Same,Above,Below,Same,Same,Above,Same,24202,Average,Average,16608,Average,Average,15170,Average,Lower,23301,Average,Average
Hospital 1368,Crown Point,Unknown,4,Same,Above,Same,Above,None,None,None,0,Unknown,Unknown,15709,Average,Average,17185,Average,Average,24565,Average,Higher
Hospital 1369,Fort Wayne,Private,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20731,Better,Lower
Hospital 1370,Fort Wayne,Proprietary,-1,None,None,None,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19335,Average,Lower
Hospital 1371,Indianapolis,Private,3,Below,Below,Below,Above,Same,Same,Below,24445,Average,Average,17893,Average,Average,18101,Average,Average,22667,Average,Average
Hospital 1372,New Albany,Unknown,5,None,None,Same,Above,Below,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20266,Average,Lower
Hospital 1373,Lafayette,Private,3,Below,Above,Above,Same,Same,Below,Above,22768,Average,Average,17891,Worse,Higher,17424,Average,Average,25445,Average,Higher
Hospital 1374,Newburgh,Proprietary,4,Same,None,Below,Above,None,None,None,25296,Average,Average,18171,Average,Average,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1375,Clarksville,Proprietary,2,Same,None,Below,Below,Below,Above,Same,27561,Average,Higher,19972,Average,Higher,20368,Average,Higher,0,Unknown,Unknown
Hospital 1376,Mishawaka,Unknown,-1,None,None,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,25762,Average,Higher
Hospital 1377,Indianapolis,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 1378,Fishers,Private,3,Same,None,Same,Same,Same,Same,Same,0,Unknown,Unknown,17046,Average,Average,17135,Average,Average,19988,Average,Average
Hospital 1379,Carmel,Church,5,None,None,Above,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,19144,Average,Lower
Hospital 1380,Bloomington,Proprietary,4,None,Above,Above,Same,Same,Above,Same,0,Unknown,Unknown,17951,Average,Average,16958,Average,Average,38211,Average,Higher
Hospital 1381,Bremen,Private,-1,None,None,Same,None,None,None,Same,0,Unknown,Unknown,0,Unknown,Unknown,19392,Average,Average,0,Unknown,Unknown
Hospital 1382,Winchester,Private,4,Same,None,Same,Above,Same,Same,None,0,Unknown,Unknown,16236,Average,Average,13045,Average,Lower,0,Unknown,Unknown
Hospital 1383,Hartford City,Private,-1,None,None,Above,None,None,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,22844,Average,Higher,0,Unknown,Unknown
Hospital 1384,North Vernon,Church,4,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,15298,Average,Average,0,Unknown,Unknown
Hospital 1385,Rushville,Government,3,Same,None,Same,None,Below,Above,Same,0,Unknown,Unknown,16065,Average,Average,16957,Average,Average,0,Unknown,Unknown
Hospital 1386,Winamac,Unknown,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,16485,Average,Average,17192,Average,Average,0,Unknown,Unknown
